date,s07,prior,together
2024-02-01,185.0,-750.0,-565.0
2024-02-02,-4040.0,-3150.0,-7190.0
2024-02-05,-1800.0,-1130.0,-2930.0
2024-02-06,1610.0,-1775.0,-165.0
2024-02-07,-1350.0,2420.0,1070.0
2024-02-08,-965.0,935.0,-30.0
2024-02-09,-1710.0,-1800.0,-3510.0
2024-02-12,1640.0,-1355.0,285.0
2024-02-13,2280.0,2175.0,4455.0
2024-02-14,565.0,-515.0,50.0
2024-02-15,905.0,395.0,1300.0
2024-02-16,245.0,-770.0,-525.0
2024-02-20,-3305.0,-2975.0,-6280.0
2024-02-21,-365.0,-930.0,-1295.0
2024-02-22,-1700.0,915.0,-785.0
2024-02-23,-2575.0,-1300.0,-3875.0
2024-02-26,-155.0,70.0,-85.0
2024-02-27,-710.0,-215.0,-925.0
2024-02-28,-850.0,-415.0,-1265.0
2024-02-29,-1455.0,725.0,-730.0
2024-03-01,1690.0,2285.0,3975.0
2024-03-04,215.0,0.0,215.0
2024-03-05,2900.0,-405.0,2495.0
2024-03-06,-630.0,-2575.0,-3205.0
2024-03-07,1885.0,2190.0,4075.0
2024-03-08,2895.0,3430.0,6325.0
2024-03-11,50.0,270.0,320.0
2024-03-12,2435.0,0.0,2435.0
2024-03-13,1080.0,395.0,1475.0
2024-03-14,1410.0,-1440.0,-30.0
2024-03-15,1060.0,750.0,1810.0
2024-03-18,-475.0,110.0,-365.0
2024-03-19,460.0,-1480.0,-1020.0
2024-03-20,-885.0,-255.0,-1140.0
2024-03-21,85.0,-670.0,-585.0
2024-03-22,-555.0,-1010.0,-1565.0
2024-03-25,1045.0,-1670.0,-625.0
2024-03-26,-85.0,-435.0,-520.0
2024-03-27,2860.0,-75.0,2785.0
2024-03-28,-880.0,-10.0,-890.0
2024-04-01,-1050.0,-2465.0,-3515.0
2024-04-02,355.0,125.0,480.0
2024-04-03,3450.0,1195.0,4645.0
2024-04-04,750.0,-835.0,-85.0
2024-04-05,2670.0,-1540.0,1130.0
