instrument,minute,horizon,stop,trades,net_total,net_mean,net_median,win,candles_mean,mean_2006-2012,n_2006-2012,mean_2013-2019,n_2013-2019,mean_2020-2026,n_2020-2026,recent_total,recent_without_best_5pct,recent_max_dd,recent_years_positive,recent_years
ES,7,60,4.0,5033,-162602.5,-32.30727200476853,-130.0,0.3033975759984105,0.05402741527128547,-30.7438739789965,1714,-27.428571428571427,1750,-39.45666029318037,1569,-61907.5,-209917.5,72302.5,2,7
ES,7,60,6.0,5033,-137752.5,-27.369858931055038,-117.5,0.3890323862507451,0.14245180152371073,-28.643523920653443,1714,-24.52857142857143,1750,-29.147546207775655,1569,-45732.5,-203042.5,59535.0,1,7
ES,7,60,10.0,5031,-142342.5,-28.29308288610614,-30.0,0.4557741999602465,0.13287419883403667,-26.798424737456244,1714,-27.09119496855346,1749,-31.267538265306122,1568,-49027.5,-208475.0,62390.0,3,7
ES,7,120,0.0,5022,-64510.0,-12.845479888490642,-5.0,0.4930306650736758,0.439278904931752,-14.029807130333138,1711,-3.212242562929062,1748,-22.322456813819578,1563,-34890.0,-240187.5,71255.0,3,7
ES,7,120,2.0,5038,-201552.5,-40.00645097260818,-92.5,0.13279078999603017,-0.09046536571220253,-33.60884749708964,1718,-30.563963449457454,1751,-57.54939451880178,1569,-90295.0,-223617.5,93202.5,1,7
ES,7,120,4.0,5032,-141747.5,-28.169217011128776,-130.0,0.2625198728139905,0.13301993293307604,-31.232497082847143,1714,-21.071428571428573,1750,-32.74234693877551,1568,-51340.0,-238025.0,63695.0,2,7
ES,7,120,6.0,5031,-110655.0,-21.99463327370304,-180.0,0.3516199562711191,0.2052481106491774,-29.96353558926488,1714,-20.17142857142857,1750,-15.314294830887045,1567,-23997.5,-224045.0,46182.5,2,7
ES,7,120,10.0,5025,-117112.5,-23.30597014925373,-80.0,0.44159203980099504,0.18307506031285573,-28.971103327495623,1713,-18.70783304745569,1749,-22.2424824056302,1563,-34765.0,-239350.0,62867.5,2,7
ES,8,30,0.0,5035,-161175.0,-32.01092353525323,-17.5,0.4595829195630586,0.20393735140051794,-20.65958066394875,1717,-21.142857142857142,1750,-56.57047193877551,1568,-88702.5,-205375.0,96290.0,1,7
ES,8,30,2.0,5041,-202655.0,-40.20134893870264,-80.0,0.2080936322158302,-0.09366824599866946,-30.254508435136707,1719,-30.685322672758424,1751,-61.69159770846594,1571,-96917.5,-190440.0,97142.5,0,7
ES,8,30,4.0,5036,-184467.5,-36.629765687053215,-130.0,0.3504765687053217,-0.01399155877140117,-29.55591147350029,1717,-28.7,1750,-53.21542383683875,1569,-83495.0,-196905.0,89452.5,0,7
ES,8,30,6.0,5036,-177430.0,-35.232327243844324,-55.0,0.4197776012708499,0.08108573222842662,-23.702679091438554,1717,-27.414285714285715,1750,-56.56947100063735,1569,-88757.5,-205280.0,92570.0,0,7
