spine_pos,relative_to_t0,close_utc,open,high,low,close
4556138,-227,2021-01-04 10:44:00+00:00,12943.75,12945.75,12943.75,12945.75
4556139,-226,2021-01-04 10:45:00+00:00,12946.0,12946.75,12945.75,12946.75
4556140,-225,2021-01-04 10:46:00+00:00,12946.5,12947.5,12946.0,12946.25
4556141,-224,2021-01-04 10:47:00+00:00,12946.0,12946.5,12945.5,12946.0
4556142,-223,2021-01-04 10:48:00+00:00,12945.75,12945.75,12944.5,12945.75
4556143,-222,2021-01-04 10:49:00+00:00,12945.75,12946.75,12945.5,12946.75
4556144,-221,2021-01-04 10:50:00+00:00,12946.5,12947.25,12946.0,12947.25
4556145,-220,2021-01-04 10:51:00+00:00,12946.75,12947.25,12945.25,12945.5
4556146,-219,2021-01-04 10:52:00+00:00,12945.25,12945.25,12943.25,12945.25
4556147,-218,2021-01-04 10:53:00+00:00,12945.25,12947.0,12945.0,12946.5
4556148,-217,2021-01-04 10:54:00+00:00,12946.25,12947.5,12945.25,12945.25
4556149,-216,2021-01-04 10:55:00+00:00,12945.25,12946.0,12943.5,12944.25
4556150,-215,2021-01-04 10:56:00+00:00,12944.0,12945.5,12943.25,12944.0
4556151,-214,2021-01-04 10:57:00+00:00,12944.0,12944.25,12942.75,12942.75
4556152,-213,2021-01-04 10:58:00+00:00,12943.0,12943.0,12940.5,12941.25
4556153,-212,2021-01-04 10:59:00+00:00,12940.75,12941.0,12938.5,12939.75
4556154,-211,2021-01-04 11:00:00+00:00,12939.5,12939.75,12938.5,12939.75
4556155,-210,2021-01-04 11:01:00+00:00,12939.75,12940.25,12938.75,12938.75
4556156,-209,2021-01-04 11:02:00+00:00,12939.0,12939.75,12938.5,12939.25
4556157,-208,2021-01-04 11:03:00+00:00,12939.75,12943.0,12939.75,12942.75
4556158,-207,2021-01-04 11:04:00+00:00,12942.75,12943.0,12941.75,12942.75
4556159,-206,2021-01-04 11:05:00+00:00,12942.75,12942.75,12941.25,12941.25
4556160,-205,2021-01-04 11:06:00+00:00,12941.5,12944.25,12941.5,12943.25
4556161,-204,2021-01-04 11:07:00+00:00,12943.5,12943.5,12942.0,12942.5
4556162,-203,2021-01-04 11:08:00+00:00,12942.0,12944.5,12942.0,12943.25
4556163,-202,2021-01-04 11:09:00+00:00,12943.5,12946.75,12943.5,12945.75
4556164,-201,2021-01-04 11:10:00+00:00,12945.5,12946.25,12943.0,12943.0
4556165,-200,2021-01-04 11:11:00+00:00,12943.0,12943.75,12942.5,12943.0
4556166,-199,2021-01-04 11:12:00+00:00,12943.25,12943.75,12941.75,12943.25
4556167,-198,2021-01-04 11:13:00+00:00,12943.0,12945.5,12943.0,12944.5
4556168,-197,2021-01-04 11:14:00+00:00,12944.5,12944.75,12944.0,12944.25
4556169,-196,2021-01-04 11:15:00+00:00,12944.5,12944.5,12942.25,12943.5
4556170,-195,2021-01-04 11:16:00+00:00,12943.75,12944.5,12943.0,12943.0
4556171,-194,2021-01-04 11:17:00+00:00,12942.5,12942.5,12940.25,12941.25
4556172,-193,2021-01-04 11:18:00+00:00,12941.75,12941.75,12939.25,12940.0
4556173,-192,2021-01-04 11:19:00+00:00,12940.0,12940.0,12937.0,12938.0
4556174,-191,2021-01-04 11:20:00+00:00,12938.25,12941.75,12938.0,12941.0
4556175,-190,2021-01-04 11:21:00+00:00,12940.75,12940.75,12938.25,12938.75
4556176,-189,2021-01-04 11:22:00+00:00,12939.0,12939.75,12938.0,12938.75
4556177,-188,2021-01-04 11:23:00+00:00,12938.25,12938.75,12937.25,12937.75
4556178,-187,2021-01-04 11:24:00+00:00,12937.5,12940.25,12937.5,12938.25
4556179,-186,2021-01-04 11:25:00+00:00,12938.75,12940.0,12938.75,12939.25
4556180,-185,2021-01-04 11:26:00+00:00,12939.25,12940.0,12938.25,12938.75
4556181,-184,2021-01-04 11:27:00+00:00,12938.75,12939.25,12938.25,12938.5
4556182,-183,2021-01-04 11:28:00+00:00,12938.5,12940.25,12938.25,12940.0
4556183,-182,2021-01-04 11:29:00+00:00,12940.0,12941.25,12939.5,12939.75
4556184,-181,2021-01-04 11:30:00+00:00,12939.5,12941.0,12938.75,12940.25
4556185,-180,2021-01-04 11:31:00+00:00,12940.25,12943.0,12940.25,12940.75
4556186,-179,2021-01-04 11:32:00+00:00,12941.0,12942.5,12940.75,12942.25
4556187,-178,2021-01-04 11:33:00+00:00,12942.25,12942.5,12941.25,12941.75
4556188,-177,2021-01-04 11:34:00+00:00,12941.75,12942.0,12941.0,12942.0
4556189,-176,2021-01-04 11:35:00+00:00,12942.75,12943.5,12942.75,12943.25
4556190,-175,2021-01-04 11:36:00+00:00,12943.25,12944.25,12942.5,12944.25
4556191,-174,2021-01-04 11:37:00+00:00,12944.25,12945.25,12943.75,12944.25
4556192,-173,2021-01-04 11:38:00+00:00,12944.0,12944.25,12942.75,12943.0
4556193,-172,2021-01-04 11:39:00+00:00,12942.75,12944.75,12942.75,12944.0
4556194,-171,2021-01-04 11:40:00+00:00,12943.5,12944.0,12943.25,12943.75
4556195,-170,2021-01-04 11:41:00+00:00,12943.75,12944.5,12943.5,12944.0
4556196,-169,2021-01-04 11:42:00+00:00,12943.75,12945.5,12943.75,12945.5
4556197,-168,2021-01-04 11:43:00+00:00,12945.25,12946.5,12945.25,12945.5
4556198,-167,2021-01-04 11:44:00+00:00,12945.5,12947.5,12945.25,12946.5
4556199,-166,2021-01-04 11:45:00+00:00,12946.75,12949.5,12946.75,12948.25
