day,net
2023-11-17 00:00:00-05:00,-305.525000000016
2023-11-20 00:00:00-05:00,1980.0
2023-11-21 00:00:00-05:00,1370.0
2023-11-22 00:00:00-05:00,-1726.1499999999796
2023-11-23 00:00:00-05:00,-185.0
2023-11-24 00:00:00-05:00,-884.3999999999869
2023-11-27 00:00:00-05:00,-480.99999999998545
2023-11-28 00:00:00-05:00,1560.0
2023-11-29 00:00:00-05:00,-1853.849999999984
2023-11-30 00:00:00-05:00,-1136.800000000003
2023-12-01 00:00:00-05:00,-1792.9999999999927
2023-12-04 00:00:00-05:00,779.5249999999942
2023-12-05 00:00:00-05:00,884.6250000000146
2023-12-06 00:00:00-05:00,2875.0
2023-12-07 00:00:00-05:00,660.0
2023-12-08 00:00:00-05:00,2190.0
2023-12-11 00:00:00-05:00,-1260.8000000000175
2023-12-12 00:00:00-05:00,-425.0
2023-12-13 00:00:00-05:00,2835.0
2023-12-14 00:00:00-05:00,-2862.925000000032
2023-12-15 00:00:00-05:00,1345.0
2023-12-18 00:00:00-05:00,885.0
2023-12-19 00:00:00-05:00,715.0
2023-12-20 00:00:00-05:00,411.07499999998254
2023-12-21 00:00:00-05:00,2590.0
2023-12-22 00:00:00-05:00,630.0
2023-12-26 00:00:00-05:00,-1053.249999999971
2023-12-27 00:00:00-05:00,835.0
2023-12-28 00:00:00-05:00,-44.70000000001164
2023-12-29 00:00:00-05:00,-318.3999999999651
2024-01-02 00:00:00-05:00,-2109.250000000029
2024-01-03 00:00:00-05:00,-814.5999999999913
2024-01-04 00:00:00-05:00,422.09999999999127
2024-01-05 00:00:00-05:00,168.0750000000262
2024-01-08 00:00:00-05:00,1705.2999999999884
2024-01-09 00:00:00-05:00,1680.0
2024-01-10 00:00:00-05:00,-664.800000000032
2024-01-11 00:00:00-05:00,-1180.199999999968
2024-01-12 00:00:00-05:00,-691.2999999999738
2024-01-15 00:00:00-05:00,220.0
2024-01-16 00:00:00-05:00,585.5500000000029
2024-01-17 00:00:00-05:00,-1976.1499999999796
2024-01-18 00:00:00-05:00,3595.0
2024-01-19 00:00:00-05:00,-360.5999999999767
2024-01-22 00:00:00-05:00,-714.1999999999825
2024-01-23 00:00:00-05:00,-897.1749999999884
2024-01-24 00:00:00-05:00,876.2000000000262
2024-01-25 00:00:00-05:00,-435.0
2024-01-26 00:00:00-05:00,845.0
2024-01-29 00:00:00-05:00,1600.0
