label,epoch,hour,n,unknown,mean_bp,sd_bp,m,t,mean_usd,years_pos
NQ ET,2020-2026,14,1563,753,1.6149889779442974,37.84720253291758,0.042671290607004884,1.6870007180648874,35.36788227767114,5/7
NQ ET,2020-2026,15,1563,753,-0.38246400172267836,51.45908481559213,-0.00743239027847599,-0.29383802454452085,-14.174664107485604,3/7
NQ ET,2020-2026,16,1562,754,0.9214230330377499,27.211749362125182,0.03386122004784586,1.3382680719971365,26.99743918053777,6/7
NQ ET,2020-2026,19,1618,698,0.16081437673426535,18.8562203910883,0.008528452330259588,0.3430516282192922,0.7632880098887516,5/7
NQ ET,2020-2026,20,1619,697,0.5577667810681943,21.569536674362478,0.025859006129285808,1.0404836339669163,18.727609635577515,5/7
NQ ET,2020-2026,21,1620,696,0.13389043403056589,23.08803742539528,0.005799125822764626,0.23341031189596984,10.419753086419753,2/7
NQ ET,2020-2026,22,1620,696,-0.48128559766702245,18.363306896551155,-0.02620909187971005,-1.0548955992882496,-18.373456790123456,2/7
NQ ET,2020-2026,23,1618,698,0.09709370059638026,14.000958566337008,0.006934789510042978,0.2789475441326527,7.132262051915945,5/7
NQ ET,2021+,0,1357,593,0.10082188714636611,11.72154777455299,0.008601414172047005,0.3168544303857634,-1.0648489314664702,2/6
NQ ET,2021+,1,1357,598,0.5207482075624819,14.577187522595935,0.03572350336820981,1.3159638734643369,19.4620486366986,6/6
NQ ET,2021+,2,1361,583,0.27980822937906497,17.352106210551472,0.016125317928777954,0.5948909314924646,12.733284349742837,5/6
NQ ET,2021+,3,1361,589,0.4733165748486653,23.768709807646257,0.019913431510548463,0.73464100818627,20.613519470977224,4/6
NQ ET,2021+,4,1361,589,0.04404942859833484,21.417577531344406,0.0020566951857122475,0.07587505066432816,2.310800881704629,3/6
NQ ET,2021+,5,1361,589,0.0812376907316912,17.073470214134268,0.0047581241372031445,0.1755354475886647,2.145481263776635,3/6
NQ ET,2021+,6,1362,588,0.20030165758534305,18.449992486762955,0.010856462826694944,0.4006608457489842,7.195301027900147,4/6
NQ ET,2021+,7,1362,588,-0.35049169382727624,22.235917057422903,-0.015762412358444798,-0.5817163073639279,-7.569750367107195,3/6
NQ ET,2021+,8,1362,588,-0.22446545357724026,39.242436123951634,-0.005719967355447581,-0.2110970207216097,0.6718061674008811,5/6
NQ ET,2021+,9,1359,591,0.6633795839355103,48.17552272489145,0.013770054716868775,0.5076277957171534,10.091979396615159,3/6
NQ ET,2021+,10,1359,591,-1.9111886360599055,50.16196209886748,-0.038100356447242224,-1.4045550549380377,-72.82928623988226,1/6
NQ ET,2021+,11,1359,591,2.2558339942323844,39.414544577089394,0.057233542044873444,2.1098926174732497,73.93671817512877,5/6
NQ ET,2021+,12,1359,591,-0.45712180101249367,33.26998992006909,-0.013739763736349952,-0.5065111303162495,-13.167770419426049,3/6
NQ ET,2021+,13,1314,636,1.1728098151951807,41.450617450328494,0.028294145837528078,1.0256383948153238,41.270928462709286,4/6
NQ ET,2021+,14,1313,637,1.545318311964828,35.487815904734255,0.04354503855952078,1.5778693586847259,35.083777608530085,4/6
NQ ET,2021+,15,1313,637,-0.510714244645701,42.22044864975526,-0.012096371805103059,-0.43831616767180137,-15.670220868240671,2/6
NQ ET,2021+,16,1312,638,0.8095039188088439,25.162415917005355,0.03217115246321646,1.1652887035686532,23.567073170731707,5/6
NQ ET,2021+,19,1359,591,-0.16526077023164135,16.26484142177518,-0.010160613678679471,-0.37456713360210026,-5.504047093451067,4/6
NQ ET,2021+,20,1360,590,0.30565249759998203,18.65574112504214,0.016383830347522128,0.6042058090788985,14.757352941176471,4/6
NQ ET,2021+,21,1361,589,0.18163868625600418,17.02199802210952,0.01067082054762769,0.39366506777756566,11.484202792064659,2/6
NQ ET,2021+,22,1361,589,-0.41183729359726745,13.979963908509497,-0.029459109929932312,-1.0867976324287247,-18.69948567229978,2/6
NQ ET,2021+,23,1359,591,0.5235969144918908,11.223313263642453,0.04665261515849027,1.7198307983724739,15.5224429727741,5/6
ES ET,2006-2012,0,1589,964,0.38678010483272673,14.053745201994385,0.027521496887380474,1.0970691431150572,1.722781623662681,5/7
ES ET,2006-2012,1,1687,873,0.9314888978457886,14.905170774122904,0.062494345885855986,2.5668368652120446,5.549792531120332,7/7
