date,status,usd,gross,n_tr,held,open,year
2016-08-22,ok,0.0,0.0,0.0,0.0,18489.0,2016
2016-08-23,ok,0.0,0.0,0.0,0.0,18580.0,2016
2016-08-24,ok,-10.0,5.0,1.0,29.0,18506.0,2016
2016-08-25,ok,0.0,0.0,0.0,0.0,18420.0,2016
2016-08-26,ok,-295.0,-265.0,2.0,359.0,18454.0,2016
2016-08-29,ok,150.0,165.0,1.0,359.0,18383.0,2016
2016-08-30,ok,-85.0,-55.0,2.0,299.0,18484.0,2016
2016-08-31,ok,-195.0,-165.0,2.0,180.0,18409.0,2016
2016-09-01,ok,-195.0,-180.0,1.0,120.0,18381.0,2016
2016-09-02,ok,-45.0,-30.0,1.0,30.0,18490.0,2016
2016-09-06,ok,0.0,0.0,0.0,0.0,18515.0,2016
2016-09-07,ok,0.0,0.0,0.0,0.0,18518.0,2016
2016-09-08,ok,0.0,0.0,0.0,0.0,18391.0,2016
2016-09-09,ok,1165.0,1180.0,1.0,359.0,18273.0,2016
2016-09-12,ok,810.0,840.0,2.0,299.0,17914.0,2016
2016-09-13,ok,375.0,390.0,1.0,359.0,18110.0,2016
2016-09-14,ok,-595.0,-550.0,3.0,89.0,17989.0,2016
2016-09-15,ok,550.0,565.0,1.0,329.0,17953.0,2016
2016-09-16,ok,0.0,0.0,0.0,0.0,18071.0,2016
2016-09-19,ok,-100.0,-85.0,1.0,30.0,18113.0,2016
2016-09-20,ok,0.0,0.0,0.0,0.0,18117.0,2016
2016-09-21,ok,0.0,0.0,0.0,0.0,18119.0,2016
2016-09-22,ok,-25.0,-10.0,1.0,30.0,18310.0,2016
2016-09-23,ok,-215.0,-200.0,1.0,90.0,18282.0,2016
2016-09-26,ok,-235.0,-190.0,3.0,120.0,18084.0,2016
2016-09-27,ok,145.0,175.0,2.0,329.0,17999.0,2016
2016-09-28,ok,0.0,0.0,0.0,0.0,18173.0,2016
2016-09-29,ok,150.0,165.0,1.0,179.0,18225.0,2016
2016-09-30,ok,-145.0,-130.0,1.0,269.0,18145.0,2016
2016-10-03,ok,-75.0,-60.0,1.0,30.0,18176.0,2016
2016-10-04,ok,-470.0,-440.0,2.0,179.0,18187.0,2016
2016-10-05,ok,120.0,135.0,1.0,180.0,18150.0,2016
2016-10-06,ok,-375.0,-360.0,1.0,120.0,18168.0,2016
2016-10-07,ok,-480.0,-435.0,3.0,150.0,18215.0,2016
2016-10-10,ok,-70.0,-55.0,1.0,90.0,18254.0,2016
2016-10-11,ok,510.0,525.0,1.0,359.0,18222.0,2016
2016-10-12,ok,0.0,0.0,0.0,0.0,18041.0,2016
2016-10-13,ok,-75.0,-60.0,1.0,60.0,17938.0,2016
2016-10-14,ok,0.0,0.0,0.0,0.0,18134.0,2016
2016-10-17,ok,-250.0,-235.0,1.0,30.0,18059.0,2016
2016-10-18,ok,0.0,0.0,0.0,0.0,18136.0,2016
2016-10-19,ok,0.0,0.0,0.0,0.0,18111.0,2016
2016-10-20,ok,0.0,0.0,0.0,0.0,18096.0,2016
2016-10-21,ok,0.0,0.0,0.0,0.0,17994.0,2016
2016-10-24,ok,0.0,0.0,0.0,0.0,18176.0,2016
2016-10-25,ok,0.0,0.0,0.0,0.0,18123.0,2016
2016-10-26,ok,-30.0,-15.0,1.0,60.0,17996.0,2016
2016-10-27,ok,0.0,0.0,0.0,0.0,18173.0,2016
2016-10-28,ok,-395.0,-380.0,1.0,30.0,18122.0,2016
2016-10-31,ok,0.0,0.0,0.0,0.0,18094.0,2016
2016-11-01,ok,380.0,395.0,1.0,269.0,18090.0,2016
2016-11-02,ok,0.0,0.0,0.0,0.0,17904.0,2016
2016-11-03,ok,0.0,0.0,0.0,0.0,17909.0,2016
2016-11-04,ok,0.0,0.0,0.0,0.0,17839.0,2016
2016-11-07,ok,365.0,380.0,1.0,299.0,18054.0,2016
2016-11-08,ok,90.0,105.0,1.0,269.0,18160.0,2016
2016-11-09,ok,500.0,530.0,2.0,299.0,18121.0,2016
2016-11-10,ok,-225.0,-195.0,2.0,209.0,18617.0,2016
2016-11-11,ok,0.0,0.0,0.0,0.0,18725.0,2016
2016-11-14,ok,0.0,0.0,0.0,0.0,18851.0,2016
2016-11-15,ok,-45.0,-30.0,1.0,60.0,18818.0,2016
2016-11-16,ok,0.0,0.0,0.0,0.0,18831.0,2016
2016-11-17,ok,0.0,0.0,0.0,0.0,18838.0,2016
2016-11-18,ok,0.0,0.0,0.0,0.0,18882.0,2016
2016-11-21,ok,0.0,0.0,0.0,0.0,18871.0,2016
2016-11-22,ok,0.0,0.0,0.0,0.0,18982.0,2016
2016-11-23,ok,0.0,0.0,0.0,0.0,18985.0,2016
2016-11-25,ok,0.0,0.0,0.0,0.0,19107.0,2016
2016-11-28,ok,-140.0,-125.0,1.0,30.0,19089.0,2016
2016-11-29,ok,0.0,0.0,0.0,0.0,19083.0,2016
2016-11-30,ok,0.0,0.0,0.0,0.0,19180.0,2016
2016-12-01,ok,0.0,0.0,0.0,0.0,19167.0,2016
2016-12-02,ok,-210.0,-180.0,2.0,150.0,19183.0,2016
2016-12-05,ok,0.0,0.0,0.0,0.0,19245.0,2016
2016-12-06,ok,-75.0,-60.0,1.0,60.0,19221.0,2016
2016-12-07,ok,1345.0,1360.0,1.0,329.0,19239.0,2016
2016-12-08,ok,-115.0,-85.0,2.0,150.0,19504.0,2016
2016-12-09,ok,520.0,535.0,1.0,359.0,19575.0,2016
2016-12-12,ok,-265.0,-235.0,2.0,90.0,19708.0,2016
2016-12-13,ok,-225.0,-210.0,1.0,60.0,19823.0,2016
2016-12-14,ok,115.0,130.0,1.0,89.0,19825.0,2016
2016-12-15,ok,-250.0,-235.0,1.0,240.0,19772.0,2016
2016-12-16,ok,-300.0,-285.0,1.0,60.0,19831.0,2016
2016-12-19,ok,-125.0,-110.0,1.0,120.0,19799.0,2016
2016-12-20,ok,-185.0,-170.0,1.0,120.0,19882.0,2016
2016-12-21,ok,0.0,0.0,0.0,0.0,19910.0,2016
2016-12-22,ok,-15.0,0.0,1.0,120.0,19882.0,2016
2016-12-23,ok,0.0,0.0,0.0,0.0,19854.0,2016
2016-12-27,ok,-40.0,-25.0,1.0,60.0,19884.0,2016
2016-12-28,ok,255.0,300.0,3.0,299.0,19918.0,2016
2016-12-29,ok,0.0,0.0,0.0,0.0,19768.0,2016
2016-12-30,ok,-105.0,-60.0,3.0,209.0,19785.0,2016
2017-01-03,ok,0.0,0.0,0.0,0.0,19852.0,2017
2017-01-04,ok,0.0,0.0,0.0,0.0,19825.0,2017
2017-01-05,ok,-240.0,-210.0,2.0,210.0,19848.0,2017
2017-01-06,ok,65.0,80.0,1.0,269.0,19818.0,2017
2017-01-09,ok,0.0,0.0,0.0,0.0,19850.0,2017
2017-01-10,ok,-5.0,10.0,1.0,90.0,19810.0,2017
2017-01-11,ok,-130.0,-85.0,3.0,149.0,19806.0,2017
2017-01-12,ok,-110.0,-95.0,1.0,240.0,19829.0,2017
2017-01-13,ok,0.0,0.0,0.0,0.0,19831.0,2017
2017-01-17,ok,-205.0,-190.0,1.0,59.0,19765.0,2017
2017-01-18,ok,0.0,0.0,0.0,0.0,19750.0,2017
2017-01-19,ok,80.0,95.0,1.0,149.0,19745.0,2017
2017-01-20,ok,-35.0,-20.0,1.0,90.0,19722.0,2017
2017-01-23,ok,35.0,50.0,1.0,120.0,19740.0,2017
2017-01-24,ok,285.0,300.0,1.0,269.0,19740.0,2017
2017-01-25,ok,-80.0,-50.0,2.0,90.0,19963.0,2017
2017-01-26,ok,0.0,0.0,0.0,0.0,20017.0,2017
2017-01-27,ok,0.0,0.0,0.0,0.0,20027.0,2017
2017-01-30,ok,-25.0,-10.0,1.0,359.0,19946.0,2017
2017-01-31,ok,-150.0,-135.0,1.0,329.0,19830.0,2017
2017-02-01,ok,0.0,0.0,0.0,0.0,19871.0,2017
2017-02-02,ok,0.0,0.0,0.0,0.0,19773.0,2017
2017-02-03,ok,215.0,230.0,1.0,329.0,19914.0,2017
2017-02-06,ok,0.0,0.0,0.0,0.0,19948.0,2017
2017-02-07,ok,-35.0,-20.0,1.0,30.0,20042.0,2017
2017-02-08,ok,0.0,0.0,0.0,0.0,20001.0,2017
