date,year,world,oid,label,resolved,day_pnl,minutes_since_open,risk_points,day_range_rel
20140520,2014,defer,20140520:PV2:-1:827,-2.25,True,0.0,257.0,0.75,0.8901734104046243
20140527,2014,take,20140527:PV2:+1:925,-2.5,True,8.75,355.0,1.25,0.639751552795031
20140527,2014,defer,20140527:PV2:+1:925,-2.5,True,0.0,355.0,1.25,0.639751552795031
20140602,2014,defer,20140602:PV2:-1:604,-7.75,True,0.0,34.0,6.5,0.6484641638225256
20140612,2014,defer,20140612:PV2:-1:639,-5.5,True,0.0,69.0,4.5,0.575
20140624,2014,defer,20140624:PV2:+1:604,15.75,True,0.0,34.0,4.5,0.5925925925925926
20140626,2014,defer,20140626:PV2:-1:607,-5.0,True,0.0,37.0,3.5,1.2058823529411764
20140701,2014,defer,20140701:PV2:+1:604,15.5,True,0.0,34.0,2.5,0.6331658291457286
20140708,2014,defer,20140708:PV2:-1:604,23.0,True,0.0,34.0,4.75,1.0964467005076142
20140722,2014,defer,20140722:PV2:+1:613,-2.5,True,0.0,43.0,1.25,0.5974025974025974
20140723,2014,defer,20140723:PV2:+1:636,-3.0,True,0.0,66.0,2.0,0.7272727272727273
20140728,2014,defer,20140728:PV2:-1:604,-8.0,True,0.0,34.0,6.5,1.0050251256281406
20140731,2014,defer,20140731:PV2:-1:608,-4.5,True,0.0,38.0,3.5,0.863849765258216
20140807,2014,take,20140807:PV2:-1:921,0.0,True,2.25,351.0,6.5,1.3661971830985915
20140807,2014,defer,20140807:PV2:-1:921,-7.75,True,0.0,351.0,6.5,1.3661971830985915
20140818,2014,defer,20140818:PV2:+1:615,-2.75,True,0.0,45.0,1.75,0.45454545454545453
20140903,2014,defer,20140903:PV2:-1:632,-1.5,True,0.0,62.0,0.5,0.9941520467836257
20140904,2014,take,20140904:PV2:+1:604,-1.75,True,-19.75,34.0,0.25,1.087719298245614
20140904,2014,defer,20140904:PV2:+1:604,-1.75,True,0.0,34.0,0.25,1.087719298245614
20140908,2014,defer,20140908:PV2:+1:606,-2.75,True,0.0,36.0,1.75,0.8538011695906432
20140912,2014,defer,20140912:PV2:-1:602,-7.0,True,0.0,32.0,5.75,0.8323699421965318
20140915,2014,defer,20140915:PV2:-1:606,-3.0,True,0.0,36.0,1.75,1.9421965317919074
20140924,2014,take,20140924:PV2:+1:674,8.75,True,-19.75,104.0,3.5,0.8380281690140845
20140924,2014,defer,20140924:PV2:+1:674,8.75,True,0.0,104.0,3.5,0.8380281690140845
20140925,2014,defer,20140925:PV2:-1:603,-1.75,True,0.0,33.0,0.5,1.0133333333333334
20140926,2014,take,20140926:PV2:+1:865,0.5,True,-4.75,295.0,5.75,0.9367088607594937
20140926,2014,defer,20140926:PV2:+1:865,0.5,True,0.0,295.0,5.75,0.9367088607594937
20141001,2014,defer,20141001:PV2:-1:610,-5.25,True,0.0,40.0,4.25,1.0229885057471264
20141008,2014,take,20141008:PV2:+1:846,41.75,True,-11.0,276.0,6.75,1.2826086956521738
20141008,2014,defer,20141008:PV2:+1:846,41.75,True,0.0,276.0,6.75,1.2826086956521738
20141010,2014,take,20141010:PV2:-1:618,-7.75,True,-19.75,48.0,6.5,1.1592689295039165
20141010,2014,defer,20141010:PV2:-1:618,-7.75,True,0.0,48.0,6.5,1.1592689295039165
20141020,2014,take,20141020:PV2:+1:603,-6.5,True,-19.75,33.0,5.25,0.5523012552301255
20141020,2014,defer,20141020:PV2:+1:603,-6.5,True,0.0,33.0,5.25,0.5523012552301255
20141028,2014,defer,20141028:PV2:+1:605,-1.5,True,0.0,35.0,5.5,0.3625254582484725
20141113,2014,defer,20141113:PV2:+1:604,-3.75,True,0.0,34.0,2.5,0.5015290519877675
20141117,2014,defer,20141117:PV2:-1:675,-2.25,True,0.0,105.0,1.0,0.84
20141118,2014,defer,20141118:PV2:+1:603,-5.0,True,0.0,33.0,4.25,0.657243816254417
20141119,2014,defer,20141119:PV2:-1:611,-4.5,True,0.0,41.0,3.0,0.8602150537634409
20141201,2014,take,20141201:PV2:-1:603,-4.25,True,-19.75,33.0,3.25,1.9444444444444444
20141201,2014,defer,20141201:PV2:-1:603,-4.25,True,0.0,33.0,3.25,1.9444444444444444
20141211,2014,defer,20141211:PV2:+1:605,24.0,True,0.0,35.0,7.0,1.0936329588014981
20150107,2015,take,20150107:PV2:+1:605,-3.0,True,-19.75,35.0,1.75,0.5631469979296067
20150107,2015,defer,20150107:PV2:+1:605,-3.0,True,0.0,35.0,1.75,0.5631469979296067
20150108,2015,defer,20150108:PV2:+1:607,19.25,True,0.0,37.0,1.25,0.47702407002188185
20150109,2015,defer,20150109:PV2:-1:638,-7.5,True,0.0,68.0,6.25,0.8141592920353983
20150112,2015,defer,20150112:PV2:-1:614,-11.5,True,0.0,44.0,10.0,1.1725663716814159
20150113,2015,defer,20150113:PV2:+1:606,-3.5,True,0.0,36.0,2.0,0.7654867256637168
20150115,2015,take,20150115:PV2:-1:606,-4.5,True,-19.75,36.0,3.25,1.1220556745182013
20150115,2015,defer,20150115:PV2:-1:606,-4.5,True,0.0,36.0,3.25,1.1220556745182013
20150129,2015,take,20150129:PV2:+1:929,-2.75,True,-19.75,359.0,1.25,1.2037383177570093
20150129,2015,defer,20150129:PV2:+1:929,-2.75,True,0.0,359.0,1.25,1.2037383177570093
20150202,2015,defer,20150202:PV2:-1:606,-12.25,True,0.0,36.0,10.75,1.0898876404494382
20150206,2015,take,20150206:PV2:-1:811,-5.75,True,-19.75,241.0,4.25,0.5655430711610487
20150206,2015,defer,20150206:PV2:-1:811,-5.75,True,0.0,241.0,4.25,0.5655430711610487
20150223,2015,defer,20150223:PV2:-1:626,-2.75,True,0.0,56.0,1.5,0.3111111111111111
20150302,2015,defer,20150302:PV2:+1:610,-7.0,True,0.0,40.0,5.5,0.7710843373493976
20150304,2015,defer,20150304:PV2:-1:604,-8.75,True,0.0,34.0,7.75,0.8353413654618473
20150306,2015,take,20150306:PV2:-1:675,18.5,True,-19.75,105.0,3.0,0.8755020080321285
20150306,2015,defer,20150306:PV2:-1:675,18.5,True,0.0,105.0,3.0,0.8755020080321285
20150309,2015,take,20150309:PV2:+1:831,-2.0,True,-6.5,261.0,0.75,1.0602409638554218
20150309,2015,defer,20150309:PV2:+1:831,-2.0,True,0.0,261.0,0.75,1.0602409638554218
20150310,2015,defer,20150310:PV2:-1:603,-6.5,True,0.0,33.0,5.0,0.7686274509803922
20150316,2015,take,20150316:PV2:+1:605,5.5,True,-19.75,35.0,3.25,0.7954545454545454
20150316,2015,defer,20150316:PV2:+1:605,5.5,True,0.0,35.0,3.25,0.7954545454545454
20150318,2015,take,20150318:PV2:+1:853,15.75,True,-0.5,283.0,8.0,1.9325842696629214
20150318,2015,defer,20150318:PV2:+1:853,15.75,True,0.0,283.0,8.0,1.9325842696629214
20150325,2015,defer,20150325:PV2:-1:605,-3.0,True,0.0,35.0,2.0,1.158273381294964
20150330,2015,defer,20150330:PV2:+1:610,-5.25,True,0.0,40.0,4.0,0.7508305647840532
20150401,2015,take,20150401:PV2:-1:605,-7.25,True,-19.75,35.0,6.25,1.388704318936877
20150401,2015,defer,20150401:PV2:-1:605,-7.25,True,0.0,35.0,6.25,1.388704318936877
20150408,2015,defer,20150408:PV2:+1:605,-4.25,True,0.0,35.0,3.25,0.8766233766233766
20150417,2015,take,20150417:PV2:-1:615,-4.5,True,-19.75,45.0,3.5,1.1156462585034013
20150417,2015,defer,20150417:PV2:-1:615,-4.5,True,0.0,45.0,3.5,1.1156462585034013
20150420,2015,defer,20150420:PV2:+1:607,-4.5,True,0.0,37.0,3.25,0.8260869565217391
20150423,2015,take,20150423:PV2:+1:760,2.0,True,7.25,190.0,4.75,0.9166666666666666
20150423,2015,defer,20150423:PV2:+1:760,2.0,True,0.0,190.0,4.75,0.9166666666666666
20150428,2015,take,20150428:PV2:-1:603,-17.5,True,-19.75,33.0,16.25,0.8539325842696629
20150428,2015,defer,20150428:PV2:-1:603,-17.5,True,0.0,33.0,16.25,0.8539325842696629
20150429,2015,take,20150429:PV2:-1:741,-3.25,True,-13.25,171.0,1.75,1.0054347826086956
20150429,2015,defer,20150429:PV2:-1:741,-3.25,True,0.0,171.0,1.75,1.0054347826086956
20150504,2015,defer,20150504:PV2:+1:604,-6.5,True,0.0,34.0,5.0,0.5474254742547425
20150505,2015,take,20150505:PV2:-1:612,-10.75,True,-19.75,42.0,9.75,0.7988980716253443
20150505,2015,defer,20150505:PV2:-1:612,-10.75,True,0.0,42.0,9.75,0.7988980716253443
20150506,2015,defer,20150506:PV2:-1:607,-8.25,True,0.0,37.0,6.75,1.132791327913279
20150512,2015,defer,20150512:PV2:-1:603,-2.75,True,0.0,33.0,1.25,0.7567567567567568
20150526,2015,take,20150526:PV2:-1:604,11.75,True,-19.75,34.0,5.75,0.8735632183908046
20150526,2015,defer,20150526:PV2:-1:604,11.75,True,0.0,34.0,5.75,0.8735632183908046
20150527,2015,take,20150527:PV2:+1:606,14.75,True,-19.75,36.0,3.75,0.867816091954023
20150527,2015,defer,20150527:PV2:+1:606,14.75,True,0.0,36.0,3.75,0.867816091954023
20150601,2015,defer,20150601:PV2:-1:621,-2.0,True,0.0,51.0,0.75,1.2195121951219512
20150609,2015,take,20150609:PV2:-1:605,-8.0,True,-19.75,35.0,6.5,0.7175141242937854
20150609,2015,defer,20150609:PV2:-1:605,-8.0,True,0.0,35.0,6.5,0.7175141242937854
20150618,2015,defer,20150618:PV2:+1:604,23.0,True,0.0,34.0,3.0,0.6685393258426966
20150707,2015,defer,20150707:PV2:-1:612,-3.75,True,0.0,42.0,2.25,1.2389937106918238
20150708,2015,take,20150708:PV2:-1:611,-6.5,True,-19.75,41.0,5.0,1.0
20150708,2015,defer,20150708:PV2:-1:611,-6.5,True,0.0,41.0,5.0,1.0
20150713,2015,defer,20150713:PV2:+1:605,8.25,True,0.0,35.0,2.0,0.6257668711656442
20150730,2015,defer,20150730:PV2:-1:611,-2.0,True,0.0,41.0,1.0,0.8554216867469879
20150805,2015,defer,20150805:PV2:+1:602,3.0,True,0.0,32.0,2.75,0.8192771084337349
20150806,2015,defer,20150806:PV2:-1:613,61.25,True,0.0,43.0,3.5,1.036144578313253
20150807,2015,take,20150807:PV2:-1:683,-3.5,True,-19.75,113.0,2.0,1.0481927710843373
20150807,2015,defer,20150807:PV2:-1:683,-3.5,True,0.0,113.0,2.0,1.0481927710843373
20150811,2015,take,20150811:PV2:-1:673,-3.5,True,-19.75,103.0,2.5,1.1118012422360248
20150811,2015,defer,20150811:PV2:-1:673,-3.5,True,0.0,103.0,2.5,1.1118012422360248
20150812,2015,defer,20150812:PV2:-1:603,-3.5,True,0.0,33.0,2.0,0.7544910179640718
20150817,2015,take,20150817:PV2:+1:665,-3.5,True,-19.75,95.0,2.0,0.9723756906077348
20150817,2015,defer,20150817:PV2:+1:665,-3.5,True,0.0,95.0,2.0,0.9723756906077348
20150820,2015,defer,20150820:PV2:-1:608,21.5,True,0.0,38.0,3.75,0.7506426735218509
20150826,2015,take,20150826:PV2:+1:915,-7.75,True,-19.75,345.0,6.5,2.3825363825363826
20150826,2015,defer,20150826:PV2:+1:915,-7.75,True,0.0,345.0,6.5,2.3825363825363826
20150928,2015,defer,20150928:PV2:-1:603,-4.0,True,0.0,33.0,2.75,0.6422018348623854
20150929,2015,take,20150929:PV2:-1:925,-4.0,True,-19.75,355.0,3.0,1.348122866894198
20150929,2015,defer,20150929:PV2:-1:925,-4.0,True,0.0,355.0,3.0,1.348122866894198
20151022,2015,defer,20151022:PV2:+1:604,-7.0,True,0.0,34.0,6.0,0.6884531590413944
20151103,2015,take,20151103:PV2:+1:728,-3.25,True,-19.75,158.0,1.75,0.689119170984456
20151103,2015,defer,20151103:PV2:+1:728,-3.25,True,0.0,158.0,1.75,0.689119170984456
20151106,2015,take,20151106:PV2:-1:606,0.0,True,-19.75,36.0,19.25,0.9918256130790191
20151106,2015,defer,20151106:PV2:-1:606,0.0,True,0.0,36.0,19.25,0.9918256130790191
20151123,2015,take,20151123:PV2:-1:866,-4.25,True,-19.75,296.0,3.0,0.9769820971867008
20151123,2015,defer,20151123:PV2:-1:866,-4.25,True,0.0,296.0,3.0,0.9769820971867008
20151124,2015,take,20151124:PV2:-1:642,-3.0,True,-19.75,72.0,1.5,0.8140703517587939
20151124,2015,defer,20151124:PV2:-1:642,-3.0,True,0.0,72.0,1.5,0.8140703517587939
20151127,2015,take,20151127:PV2:-1:606,-1.75,True,-19.75,36.0,1.0,0.41708542713567837
20151127,2015,defer,20151127:PV2:-1:606,-1.75,True,0.0,36.0,1.0,0.41708542713567837
20151201,2015,take,20151201:PV2:+1:602,-6.0,True,-19.75,32.0,5.0,0.5728900255754475
20151201,2015,defer,20151201:PV2:+1:602,-6.0,True,0.0,32.0,5.0,0.5728900255754475
20151202,2015,take,20151202:PV2:+1:603,-2.0,True,-19.75,33.0,1.0,0.4797843665768194
20151202,2015,defer,20151202:PV2:+1:603,-2.0,True,0.0,33.0,1.0,0.4797843665768194
20151204,2015,defer,20151204:PV2:+1:603,-6.5,True,0.0,33.0,5.25,1.0741687979539642
20151210,2015,take,20151210:PV2:+1:651,-1.75,True,-19.75,81.0,0.75,0.7904761904761904
20151210,2015,defer,20151210:PV2:+1:651,-1.75,True,0.0,81.0,0.75,0.7904761904761904
20151215,2015,defer,20151215:PV2:+1:606,-6.25,True,0.0,36.0,5.25,0.6513761467889908
20151217,2015,defer,20151217:PV2:-1:657,-3.0,True,0.0,87.0,1.5,1.0963302752293578
20151228,2015,defer,20151228:PV2:-1:609,-3.5,True,0.0,39.0,2.0,0.3076923076923077
20151229,2015,defer,20151229:PV2:+1:605,7.0,True,0.0,35.0,7.75,0.5085470085470085
20151230,2015,defer,20151230:PV2:-1:607,-6.0,True,0.0,37.0,4.75,0.3958333333333333
20160104,2016,defer,20160104:PV2:-1:608,-4.0,True,0.0,38.0,2.75,0.6434782608695652
20160105,2016,take,20160105:PV2:-1:733,-5.75,True,-19.75,163.0,4.75,0.9478260869565217
20160105,2016,defer,20160105:PV2:-1:733,-5.75,True,0.0,163.0,4.75,0.9478260869565217
20160114,2016,defer,20160114:PV2:-1:609,-10.5,True,0.0,39.0,9.25,1.2151898734177216
20160120,2016,take,20160120:PV2:-1:602,-11.0,True,-19.75,32.0,9.5,0.9240506329113924
20160120,2016,defer,20160120:PV2:-1:602,-11.0,True,0.0,32.0,9.5,0.9240506329113924
20160127,2016,take,20160127:PV2:-1:612,-15.75,True,-19.75,42.0,14.5,0.6540880503144654
20160127,2016,defer,20160127:PV2:-1:612,-15.75,True,0.0,42.0,14.5,0.6540880503144654
20160129,2016,defer,20160129:PV2:+1:604,-7.75,True,0.0,34.0,5.75,0.4972067039106145
20160205,2016,defer,20160205:PV2:-1:603,-3.25,True,0.0,33.0,2.0,0.5718085106382979
20160210,2016,take,20160210:PV2:+1:638,-3.25,True,-19.75,68.0,2.25,0.7152145643693107
20160210,2016,defer,20160210:PV2:+1:638,-3.25,True,0.0,68.0,2.25,0.7152145643693107
20160229,2016,take,20160229:PV2:+1:700,-2.75,True,-19.75,130.0,1.25,0.5041459369817579
20160229,2016,defer,20160229:PV2:+1:700,-2.75,True,0.0,130.0,1.25,0.5041459369817579
20160301,2016,take,20160301:PV2:+1:633,-10.5,True,-19.75,63.0,9.25,0.7131011608623549
20160301,2016,defer,20160301:PV2:+1:633,-10.5,True,0.0,63.0,9.25,0.7131011608623549
20160304,2016,defer,20160304:PV2:-1:602,-9.75,True,0.0,32.0,8.25,0.5300751879699248
20160330,2016,take,20160330:PV2:+1:605,-4.75,True,-19.75,35.0,3.5,0.7174603174603175
